Timestamp,DeviceName,AccountName,ActionType,RemoteIP,RemotePort,RemoteUrl,InitiatingProcessCommandLine,InitiatingProcessSHA256
2 Jul 2025 11:23:13 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.19,443,,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:23:13 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.19,443,https://api.dropbox.com,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:23:19 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,23.48.203.174,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:23:19 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,20.140.56.69,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:23:23 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,23.48.203.164,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:23:34 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,150.171.22.254,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:24:12 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.13,443,,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:24:12 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.6.13,443,https://client.dropbox.com,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:24:13 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,,"""Dropbox.exe"" /firstrun 1 /noappwasrunning /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsInJlcXVlc3Rfc2VxdWVuY2UiOjB9",f0345fce92ea961864eff526579e55c189be29890aabc497fc488e90e730f0aa
2 Jul 2025 11:24:53 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,4.150.241.254,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:24:54 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,131.253.33.254,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:24:55 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,20.17.11.191,443,,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",d0b8a70e6b958bb8d4e5bd52c7e218e6a7b842449b92142dd0a5b6b7521bb780
2 Jul 2025 11:25:17 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,,"""Dropbox.exe"" /install /InstallType:MACHINE /InstallDir:""C:\Program Files (x86)\Dropbox\Client"" /KillEveryone:YES /IsAutoUpdate:  /InstallerData:",f4cf4f8600000000000000000000000000000000000000083db382f97f0000ff
2 Jul 2025 11:25:27 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,162.125.8.20,443,,"""DropboxClient_227.4.4774.x64.exe"" /S /DBData:eyJmaXhlZF9idWlsZCI6IjIyNy40LjQ3NzQiLCJidWlsZF9pZCI6Im1haW4iLCJUQUdTIjoiZUp5clZpcE9MUzdPek0tTHoweFJzbEl3TkRFMHNUUXhOVEF5TWpNd3NqQ3lORFFHQWlNVEkyTkxVek9naUptaG9ZbXBpWUZCTFFDbThBMmJATUVUQSIsIm9tYWhhLWluc3RhbGxlci1pZCI6IntGQzVCQjNBNC1DNTNDLTQ3ODktQkYzNS1BQzlBQzIzQzBBNTh9IiwicmVxdWVzdF9zZXF1ZW5jZSI6MX0 /InstallType:MACHINE",7f1cba72d3d8959557de69d931311bb6e243feeab7d8a69a1b42e97f4a50dd9a
